id,features,labels
479,https://vo_agam_output.cog.sanger.ac.uk/BK0031-C.gatk.zarr.zip,coluzzii
747,https://vo_agam_output.cog.sanger.ac.uk/AN0153-C.gatk.zarr.zip,gambiae
264,https://vo_agam_output.cog.sanger.ac.uk/AB0328-C.gatk.zarr.zip,coluzzii
2643,https://vo_agam_output.cog.sanger.ac.uk/AC0157-C.gatk.zarr.zip,gambiae
2395,https://vo_agam_output.cog.sanger.ac.uk/BL0286-C.gatk.zarr.zip,arabiensis
317,https://vo_agam_output.cog.sanger.ac.uk/AB0413-C.gatk.zarr.zip,coluzzii
2467,https://vo_agam_output.cog.sanger.ac.uk/BL0366-C.gatk.zarr.zip,gcx3
83,https://vo_agam_output.cog.sanger.ac.uk/AB0087-C.gatk.zarr.zip,coluzzii
2579,https://vo_agam_output.cog.sanger.ac.uk/AC0093-C.gatk.zarr.zip,gambiae
746,https://vo_agam_output.cog.sanger.ac.uk/AN0152-C.gatk.zarr.zip,gambiae
509,https://vo_agam_output.cog.sanger.ac.uk/BK0065-C.gatk.zarr.zip,coluzzii
1643,https://vo_agam_output.cog.sanger.ac.uk/AV0346-C.gatk.zarr.zip,gambiae
169,https://vo_agam_output.cog.sanger.ac.uk/AB0188-C.gatk.zarr.zip,coluzzii
1723,https://vo_agam_output.cog.sanger.ac.uk/AV0320-C.gatk.zarr.zip,coluzzii
1855,https://vo_agam_output.cog.sanger.ac.uk/AJ0038-C.gatk.zarr.zip,bissau
2331,https://vo_agam_output.cog.sanger.ac.uk/BL0169-C.gatk.zarr.zip,arabiensis
2009,https://vo_agam_output.cog.sanger.ac.uk/AZ0254-C.gatk.zarr.zip,gambiae
1019,https://vo_agam_output.cog.sanger.ac.uk/AN0601-CW.gatk.zarr.zip,coluzzii
845,https://vo_agam_output.cog.sanger.ac.uk/AN0255-C.gatk.zarr.zip,gambiae
1925,https://vo_agam_output.cog.sanger.ac.uk/AK0109-Cx.gatk.zarr.zip,gcx3
960,https://vo_agam_output.cog.sanger.ac.uk/AN0492-C.gatk.zarr.zip,coluzzii
1544,https://vo_agam_output.cog.sanger.ac.uk/AV0038-C.gatk.zarr.zip,coluzzii
899,https://vo_agam_output.cog.sanger.ac.uk/AN0312-C.gatk.zarr.zip,gambiae
1803,https://vo_agam_output.cog.sanger.ac.uk/AJ0105-C.gatk.zarr.zip,bissau
540,https://vo_agam_output.cog.sanger.ac.uk/AY0091-C.gatk.zarr.zip,coluzzii
243,https://vo_agam_output.cog.sanger.ac.uk/AB0266-Cx.gatk.zarr.zip,coluzzii
2385,https://vo_agam_output.cog.sanger.ac.uk/BL0275-C.gatk.zarr.zip,arabiensis
1553,https://vo_agam_output.cog.sanger.ac.uk/AV0022-C.gatk.zarr.zip,gambiae
477,https://vo_agam_output.cog.sanger.ac.uk/BK0029-C.gatk.zarr.zip,gambiae
403,https://vo_agam_output.cog.sanger.ac.uk/BP0036-C.gatk.zarr.zip,gambiae
334,https://vo_agam_output.cog.sanger.ac.uk/AB0469-C.gatk.zarr.zip,gambiae
745,https://vo_agam_output.cog.sanger.ac.uk/AN0151-C.gatk.zarr.zip,gambiae
2487,https://vo_agam_output.cog.sanger.ac.uk/BL0388-C.gatk.zarr.zip,gambiae
513,https://vo_agam_output.cog.sanger.ac.uk/BK0070-C.gatk.zarr.zip,gambiae
2319,https://vo_agam_output.cog.sanger.ac.uk/BL0155-C.gatk.zarr.zip,arabiensis
2318,https://vo_agam_output.cog.sanger.ac.uk/BL0154-C.gatk.zarr.zip,arabiensis
2021,https://vo_agam_output.cog.sanger.ac.uk/AZ0271-C.gatk.zarr.zip,coluzzii
2276,https://vo_agam_output.cog.sanger.ac.uk/BL0214-C.gatk.zarr.zip,arabiensis
2520,https://vo_agam_output.cog.sanger.ac.uk/AC0034-C.gatk.zarr.zip,arabiensis
493,https://vo_agam_output.cog.sanger.ac.uk/BK0047-C.gatk.zarr.zip,gambiae
1014,https://vo_agam_output.cog.sanger.ac.uk/AN0379-C.gatk.zarr.zip,coluzzii
308,https://vo_agam_output.cog.sanger.ac.uk/AB0397-C.gatk.zarr.zip,coluzzii
2737,https://vo_agam_output.cog.sanger.ac.uk/AC0253-C.gatk.zarr.zip,gambiae
1831,https://vo_agam_output.cog.sanger.ac.uk/AJ0138-C.gatk.zarr.zip,bissau
626,https://vo_agam_output.cog.sanger.ac.uk/AN0027-C.gatk.zarr.zip,gambiae
